pat	smp1	smp2	clonal_dist	td	pd
K153	K153_R26	K153_R58	2	0.6218238385363921	0.09
K153	K153_R26	K153_R58	2	0.6218238385363921	0.09
K153	K153_R26	K153_R58	2	0.6218238385363921	0.09
K153	K153_R26	K153_R59	0	0.3320546927312381	0.1
K153	K153_R26	K153_R59	0	0.3320546927312381	0.1
K153	K153_R4	K153_R54	2	0.685051597251642	0.12999999999999998
K153	K153_R4	K153_R54	2	0.685051597251642	0.12999999999999998
K153	K153_R4	K153_R54	2	0.685051597251642	0.12999999999999998
K153	K153_R4	K153_R55	2	0.6191549976706867	0.04000000000000001
K153	K153_R4	K153_R55	2	0.6191549976706867	0.04000000000000001
K153	K153_R4	K153_R55	2	0.6191549976706867	0.04000000000000001
K153	K153_R4	K153_R58	2	0.5800539867932212	0
K153	K153_R4	K153_R58	2	0.5800539867932212	0
K153	K153_R4	K153_R58	2	0.5800539867932212	0
K153	K153_R4	K153_R59	0	0.28359318975134407	0.010000000000000009
K153	K153_R4	K153_R59	0	0.28359318975134407	0.010000000000000009
K153	K153_R54	K153_R55	1	0.4984447051143047	0.08999999999999997
K153	K153_R54	K153_R55	1	0.4984447051143047	0.08999999999999997
K153	K153_R54	K153_R55	1	0.4984447051143047	0.08999999999999997
K153	K153_R54	K153_R58	1	0.641025602123495	0.12999999999999998
K153	K153_R54	K153_R58	1	0.641025602123495	0.12999999999999998
K153	K153_R54	K153_R58	1	0.641025602123495	0.12999999999999998
K153	K153_R54	K153_R59	1	0.8465218515605148	0.13999999999999999
K153	K153_R54	K153_R59	1	0.8465218515605148	0.13999999999999999
K153	K153_R54	K153_R59	1	0.8465218515605148	0.13999999999999999
K153	K153_R55	K153_R58	1	0.5497971890891995	0.04000000000000001
K153	K153_R55	K153_R58	1	0.5497971890891995	0.04000000000000001
K153	K153_R55	K153_R58	1	0.5497971890891995	0.04000000000000001
K153	K153_R55	K153_R59	1	0.7497368684479917	0.05000000000000002
K153	K153_R55	K153_R59	1	0.7497368684479917	0.05000000000000002
K153	K153_R55	K153_R59	1	0.7497368684479917	0.05000000000000002
K153	K153_R58	K153_R59	1	0.5856890844751657	0.010000000000000009
K153	K153_R58	K153_R59	1	0.5856890844751657	0.010000000000000009
K153	K153_R58	K153_R59	1	0.5856890844751657	0.010000000000000009
K158	K158_R2	K158_R4	1	0.07481793529301228	0.06
K158	K158_R2	K158_R4	1	0.07481793529301228	0.06
K158	K158_R2	K158_R4	1	0.07481793529301228	0.06
K162	K162_R2	K162_R6	1	0.21970686438427178	0.21000000000000008
K162	K162_R2	K162_R6	1	0.21970686438427178	0.21000000000000008
K162	K162_R2	K162_R6	1	0.21970686438427178	0.21000000000000008
K163	K163_R10	K163_R31	3	0.3523766845160373	0.24000000000000005
K163	K163_R10	K163_R31	3	0.3523766845160373	0.24000000000000005
K163	K163_R10	K163_R31	3	0.3523766845160373	0.24000000000000005
K163	K163_R10	K163_R31	3	0.3523766845160373	0.24000000000000005
K163	K163_R10	K163_R4	1	0.0770175569216136	0.10999999999999999
K163	K163_R10	K163_R4	1	0.0770175569216136	0.10999999999999999
K163	K163_R10	K163_R4	1	0.0770175569216136	0.10999999999999999
