sample1	sample2	t_d
K163-R4	K163-R17	0.08514600859236632
K163-R4	K163-R31	0.3578376890354893
K163-R10	K163-R17	0.02299026695726092
K163-R10	K163-R31	0.3523766845160373
K163-R10	K163-R4	0.0770175569216136
K163-R17	K163-R10	0.02299026695726092
K163-R17	K163-R31	0.3603090415548187
K163-R17	K163-R4	0.08514600859236632
K163-R31	K163-R10	0.3523766845160373
K163-R31	K163-R17	0.3603090415548187
K163-R31	K163-R4	0.3578376890354893
K163-R4	K163-R10	0.0770175569216136
K163-R4	K163-R17	0.08514600859236632
K163-R4	K163-R31	0.3578376890354893
K165-R19	K165-R32	0.12325793667318341
K165-R19	K165-R7	0.15083796529996207
K165-R32	K165-R19	0.12325793667318341
K165-R32	K165-R7	0.09341848493629523
K165-R7	K165-R19	0.15083796529996207
K165-R7	K165-R32	0.09341848493629523
K165-R19	K165-R32	0.12325793667318341
K165-R19	K165-R7	0.15083796529996207
K165-R32	K165-R19	0.12325793667318341
K165-R32	K165-R7	0.09341848493629523
K165-R7	K165-R19	0.15083796529996207
K165-R7	K165-R32	0.09341848493629523
K167-R12	K167-R3	0.14792432064810268
K167-R12	K167-R7	0.17933957931560496
K167-R3	K167-R12	0.14792432064810268
K167-R3	K167-R7	0.1540267006477769
K167-R7	K167-R12	0.17933957931560496
K167-R7	K167-R3	0.1540267006477769
K167-R12	K167-R3	0.14792432064810268
K167-R12	K167-R7	0.17933957931560496
K167-R3	K167-R12	0.14792432064810268
K167-R3	K167-R7	0.1540267006477769
K167-R7	K167-R12	0.17933957931560496
K167-R7	K167-R3	0.1540267006477769
K169-R10	K169-R2	0.7293954713497262
K169-R10	K169-R8	0.6626253577496647
K169-R2	K169-R10	0.7293954713497262
K169-R2	K169-R8	0.22057268653772322
K169-R8	K169-R10	0.6626253577496647
K169-R8	K169-R2	0.22057268653772322
K169-R10	K169-R2	0.7293954713497262
K169-R10	K169-R8	0.6626253577496647
K169-R2	K169-R10	0.7293954713497262
K169-R2	K169-R8	0.22057268653772322
K169-R8	K169-R10	0.6626253577496647
K169-R8	K169-R2	0.22057268653772322
K191-R3	K191-R7	0.17658017536415882
K191-R3	K191-R8	0.16150848250890515
K191-R7	K191-R3	0.17658017536415882
K191-R7	K191-R8	0.1615784024224124
K191-R8	K191-R3	0.16150848250890515
K191-R8	K191-R7	0.1615784024224124
K191-R1	K191-R3	0.07552070603103822
K191-R1	K191-R7	0.1880041374441015
K191-R1	K191-R8	0.17442455643584065
K191-R3	K191-R7	0.17658017536415882
K191-R3	K191-R8	0.16150848250890515
K191-R7	K191-R3	0.17658017536415882
K191-R7	K191-R8	0.1615784024224124
K191-R8	K191-R3	0.16150848250890515
K191-R8	K191-R7	0.1615784024224124
K206-R5	K206-R7	0.25313187202870024
K206-R5	K206-R9	0.8430786147450098
K206-R7	K206-R5	0.25313187202870024
K206-R7	K206-R9	0.6926515233347601
K206-R9	K206-R5	0.8430786147450098
K206-R9	K206-R7	0.6926515233347601
K206-M2	K206-R5	0.20697503702014797
K206-M2	K206-R7	0.25582100055039503
K206-M2	K206-R9	0.8192500172485591
K206-R5	K206-R7	0.25313187202870024
K206-R5	K206-R9	0.8430786147450098
K206-R7	K206-R5	0.25313187202870024
K206-R7	K206-R9	0.6926515233347601
K206-R9	K206-R5	0.8430786147450098
K206-R9	K206-R7	0.6926515233347601
K207-R1	K207-R6	0.13031443714174518
K207-R1	K207-R7	0.6311946742695207
K207-R1	K207_R4	0.12201471655148388
K207-R6	K207-R1	0.13031443714174518
K207-R6	K207-R7	0.6434388403558347
K207-R6	K207_R4	0.12468889067237121
K207-R7	K207-R1	0.6311946742695207
K207-R7	K207-R6	0.6434388403558347
K207-R7	K207_R4	0.70903308513252
K207_R4	K207-R1	0.12201471655148388
K207_R4	K207-R6	0.12468889067237121
K207_R4	K207-R7	0.70903308513252
K207-R1	K207-R6	0.13031443714174518
K207-R1	K207-R7	0.6311946742695207
K207-R1	K207_R4	0.12201471655148388
K207-R6	K207-R1	0.13031443714174518
K207-R6	K207-R7	0.6434388403558347
K207-R6	K207_R4	0.12468889067237121
K207-R7	K207-R1	0.6311946742695207
K207-R7	K207-R6	0.6434388403558347
K207-R7	K207_R4	0.70903308513252
K207-T1	K207-R1	0.10949744393088201
K207-T1	K207-R6	0.1777144299847363
K207-T1	K207-R7	0.5103405937782339
K207-T1	K207_R4	0.21801897875273846
K207_R4	K207-R1	0.12201471655148388
K207_R4	K207-R6	0.12468889067237121
K207_R4	K207-R7	0.70903308513252
K216-R3	K216-R5	0.3289498007660455
K216-R5	K216-R3	0.3289498007660455
K216-R3	K216-R5	0.3289498007660455
K216-R5	K216-R3	0.3289498007660455
K220-R11	K220-R14	0.5691893539328634
K220-R11	K220-R4	0.5756854388805857
K220-R11	K220-R7	0.150041551891535
K220-R14	K220-R11	0.5691893539328634
K220-R14	K220-R4	0.4703660654585896
K220-R14	K220-R7	0.5257335222464942
K220-R4	K220-R11	0.5756854388805857
K220-R4	K220-R14	0.4703660654585896
K220-R4	K220-R7	0.5788976650956791
K220-R7	K220-R11	0.150041551891535
K220-R7	K220-R14	0.5257335222464942
K220-R7	K220-R4	0.5788976650956791
K220-R11	K220-R14	0.5691893539328634
K220-R11	K220-R4	0.5756854388805857
K220-R11	K220-R7	0.150041551891535
K220-R14	K220-R11	0.5691893539328634
K220-R14	K220-R4	0.4703660654585896
K220-R14	K220-R7	0.5257335222464942
K220-R4	K220-R11	0.5756854388805857
K220-R4	K220-R14	0.4703660654585896
K220-R4	K220-R7	0.5788976650956791
K220-R7	K220-R11	0.150041551891535
K220-R7	K220-R14	0.5257335222464942
K220-R7	K220-R4	0.5788976650956791
K234-R17	K234-R4	0.25327130342227555
K234-R17	K234-R8	0.2878340119046253
K234-R17	K234_R2	0.1530105320678825
K234-R4	K234-R17	0.25327130342227555
K234-R4	K234-R8	0.1830863631261498
K234-R4	K234_R2	0.15699387666702136
K234-R8	K234-R17	0.2878340119046253
K234-R8	K234-R4	0.1830863631261498
K234-R8	K234_R2	0.2881207889867462
K234_R2	K234-R17	0.1530105320678825
K234_R2	K234-R4	0.15699387666702136
K234_R2	K234-R8	0.2881207889867462
K234-R17	K234-R4	0.25327130342227555
K234-R17	K234-R8	0.2878340119046253
K234-R17	K234_R2	0.1530105320678825
K234-R4	K234-R17	0.25327130342227555
K234-R4	K234-R8	0.1830863631261498
K234-R4	K234_R2	0.15699387666702136
K234-R8	K234-R17	0.2878340119046253
K234-R8	K234-R4	0.1830863631261498
K234-R8	K234_R2	0.2881207889867462
K234_R2	K234-R17	0.1530105320678825
K234_R2	K234-R4	0.15699387666702136
K234_R2	K234-R8	0.2881207889867462
K234_THR1	K234-R17	0.4404734392011793
K234_THR1	K234-R4	0.6464642957498716
K234_THR1	K234-R8	0.6322292556807021
K234_THR1	K234_R2	0.5822346130895588
K239-R2	K239-R3	0.15538706342654307
K239-R2	K239-R4	0.27466507280608377
K239-R3	K239-R2	0.15538706342654307
K239-R3	K239-R4	0.13828756391539976
K239-R4	K239-R2	0.27466507280608377
K239-R4	K239-R3	0.13828756391539976
K239-R2	K239-R3	0.15538706342654307
K239-R2	K239-R4	0.27466507280608377
K239-R3	K239-R2	0.15538706342654307
K239-R3	K239-R4	0.13828756391539976
K239-R4	K239-R2	0.27466507280608377
K239-R4	K239-R3	0.13828756391539976
K239-T1	K239-R2	0.41469744279663634
K239-T1	K239-R3	0.24704868804451685
K239-T1	K239-R4	0.2876952774946606
K242-R10	K242-R14	0.10932315338525467
K242-R14	K242-R10	0.10932315338525467
K242-R10	K242-R14	0.10932315338525467
K242-R14	K242-R10	0.10932315338525467
K242-T1	K242-R10	0.28247724121970774
K242-T1	K242-R14	0.23487308792206796
K243-R12	K243-R13	0.07810267973277996
K243-R12	K243-R20	0.09764477418767747
K243-R12	K243-R3	0.15203979323716355
K243-R12	K243_R1	0.2192567923009069
K243-R12	K243_R15	0.11591929042953097
K243-R12	K243_R21	0.15581692035578099
K243-R12	K243_R23	0.2706729377059659
K243-R12	K243_R24	0.2144858157306243
K243-R12	K243_R5	0.17447851593931119
K243-R12	K243_R6	0.14670818800345586
K243-R12	K243_R7	0.15479302516830684
K243-R13	K243-R12	0.07810267973277996
K243-R13	K243-R20	0.08848145762599935
K243-R13	K243-R3	0.1853145970157768
K243-R13	K243_R1	0.16799183803023487
K243-R13	K243_R15	0.08423486259643775
K243-R13	K243_R21	0.22040111935083362
K243-R13	K243_R23	0.29260618995723187
K243-R13	K243_R24	0.13441270310082465
K243-R13	K243_R5	0.20457048067776262
K243-R13	K243_R6	0.159535101588137
K243-R13	K243_R7	0.21434959697933775
K243-R20	K243-R12	0.09764477418767747
K243-R20	K243-R13	0.08848145762599935
K243-R20	K243-R3	0.15039193925604732
K243-R20	K243_R1	0.1325304109419928
K243-R20	K243_R15	0.09584685184770425
K243-R20	K243_R21	0.18190770316265148
K243-R20	K243_R23	0.26168657917475535
K243-R20	K243_R24	0.16007559622255896
K243-R20	K243_R5	0.15524692094119563
K243-R20	K243_R6	0.10484361883433879
K243-R20	K243_R7	0.18284532631839245
K243-R3	K243-R12	0.15203979323716355
K243-R3	K243-R13	0.1853145970157768
K243-R3	K243-R20	0.15039193925604732
K243-R3	K243_R1	0.24678437756551186
K243-R3	K243_R15	0.2022476057220315
K243-R3	K243_R21	0.15162495204512494
K243-R3	K243_R23	0.21755023820549035
K243-R3	K243_R24	0.296756250974722
K243-R3	K243_R5	0.21157651284177337
K243-R3	K243_R6	0.15684980391849324
K243-R3	K243_R7	0.18317445544121325
K243_R1	K243-R12	0.2192567923009069
K243_R1	K243-R13	0.16799183803023487
K243_R1	K243-R20	0.1325304109419928
K243_R1	K243-R3	0.24678437756551186
K243_R1	K243_R15	0.15541251909766152
K243_R1	K243_R21	0.28964130660242027
K243_R1	K243_R23	0.33772207360157525
K243_R1	K243_R24	0.1447875037473989
K243_R1	K243_R5	0.21945979678477934
K243_R1	K243_R6	0.17986222080099978
K243_R1	K243_R7	0.2895404900598626
K243_R15	K243-R12	0.11591929042953097
K243_R15	K243-R13	0.08423486259643775
K243_R15	K243-R20	0.09584685184770425
K243_R15	K243-R3	0.2022476057220315
K243_R15	K243_R1	0.15541251909766152
K243_R15	K243_R21	0.1851583748646929
K243_R15	K243_R23	0.2864580137754792
K243_R15	K243_R24	0.15780132195360452
K243_R15	K243_R5	0.18247812285354925
K243_R15	K243_R6	0.1114366178753754
K243_R15	K243_R7	0.21469603974294338
K243_R21	K243-R12	0.15581692035578099
K243_R21	K243-R13	0.22040111935083362
K243_R21	K243-R20	0.18190770316265148
K243_R21	K243-R3	0.15162495204512494
K243_R21	K243_R1	0.28964130660242027
K243_R21	K243_R15	0.1851583748646929
K243_R21	K243_R23	0.18383974525279267
K243_R21	K243_R24	0.3144035800568571
K243_R21	K243_R5	0.207510733716054
K243_R21	K243_R6	0.1531304666386719
K243_R21	K243_R7	0.16314905440632965
K243_R23	K243-R12	0.2706729377059659
K243_R23	K243-R13	0.29260618995723187
K243_R23	K243-R20	0.26168657917475535
K243_R23	K243-R3	0.21755023820549035
K243_R23	K243_R1	0.33772207360157525
K243_R23	K243_R15	0.2864580137754792
K243_R23	K243_R21	0.18383974525279267
K243_R23	K243_R24	0.37342718072218517
K243_R23	K243_R5	0.23165472921086705
K243_R23	K243_R6	0.20191260030297165
K243_R23	K243_R7	0.23654317391591895
K243_R24	K243-R12	0.2144858157306243
K243_R24	K243-R13	0.13441270310082465
K243_R24	K243-R20	0.16007559622255896
K243_R24	K243-R3	0.296756250974722
K243_R24	K243_R1	0.1447875037473989
K243_R24	K243_R15	0.15780132195360452
K243_R24	K243_R21	0.3144035800568571
K243_R24	K243_R23	0.37342718072218517
K243_R24	K243_R5	0.2666692052445875
K243_R24	K243_R6	0.20577131602943066
K243_R24	K243_R7	0.3046906369655529
K243_R5	K243-R12	0.17447851593931119
K243_R5	K243-R13	0.20457048067776262
K243_R5	K243-R20	0.15524692094119563
K243_R5	K243-R3	0.21157651284177337
K243_R5	K243_R1	0.21945979678477934
K243_R5	K243_R15	0.18247812285354925
K243_R5	K243_R21	0.207510733716054
K243_R5	K243_R23	0.23165472921086705
K243_R5	K243_R24	0.2666692052445875
K243_R5	K243_R6	0.09699608438479224
K243_R5	K243_R7	0.12240519277791606
K243_R6	K243-R12	0.14670818800345586
K243_R6	K243-R13	0.159535101588137
K243_R6	K243-R20	0.10484361883433879
K243_R6	K243-R3	0.15684980391849324
K243_R6	K243_R1	0.17986222080099978
K243_R6	K243_R15	0.1114366178753754
K243_R6	K243_R21	0.1531304666386719
K243_R6	K243_R23	0.20191260030297165
K243_R6	K243_R24	0.20577131602943066
K243_R6	K243_R5	0.09699608438479224
K243_R6	K243_R7	0.1577206269468031
K243_R7	K243-R12	0.15479302516830684
K243_R7	K243-R13	0.21434959697933775
K243_R7	K243-R20	0.18284532631839245
K243_R7	K243-R3	0.18317445544121325
K243_R7	K243_R1	0.2895404900598626
K243_R7	K243_R15	0.21469603974294338
K243_R7	K243_R21	0.16314905440632965
K243_R7	K243_R23	0.23654317391591895
K243_R7	K243_R24	0.3046906369655529
K243_R7	K243_R5	0.12240519277791606
K243_R7	K243_R6	0.1577206269468031
K243-R12	K243-R13	0.07810267973277996
K243-R12	K243-R20	0.09764477418767747
K243-R12	K243-R3	0.15203979323716355
K243-R12	K243_R1	0.2192567923009069
K243-R12	K243_R15	0.11591929042953097
K243-R12	K243_R21	0.15581692035578099
K243-R12	K243_R23	0.2706729377059659
K243-R12	K243_R24	0.2144858157306243
K243-R12	K243_R5	0.17447851593931119
K243-R12	K243_R6	0.14670818800345586
K243-R12	K243_R7	0.15479302516830684
K243-R13	K243-R12	0.07810267973277996
K243-R13	K243-R20	0.08848145762599935
K243-R13	K243-R3	0.1853145970157768
K243-R13	K243_R1	0.16799183803023487
K243-R13	K243_R15	0.08423486259643775
K243-R13	K243_R21	0.22040111935083362
K243-R13	K243_R23	0.29260618995723187
K243-R13	K243_R24	0.13441270310082465
K243-R13	K243_R5	0.20457048067776262
K243-R13	K243_R6	0.159535101588137
K243-R13	K243_R7	0.21434959697933775
K243-R20	K243-R12	0.09764477418767747
K243-R20	K243-R13	0.08848145762599935
K243-R20	K243-R3	0.15039193925604732
K243-R20	K243_R1	0.1325304109419928
K243-R20	K243_R15	0.09584685184770425
K243-R20	K243_R21	0.18190770316265148
K243-R20	K243_R23	0.26168657917475535
K243-R20	K243_R24	0.16007559622255896
K243-R20	K243_R5	0.15524692094119563
K243-R20	K243_R6	0.10484361883433879
K243-R20	K243_R7	0.18284532631839245
K243-R3	K243-R12	0.15203979323716355
K243-R3	K243-R13	0.1853145970157768
K243-R3	K243-R20	0.15039193925604732
K243-R3	K243_R1	0.24678437756551186
K243-R3	K243_R15	0.2022476057220315
K243-R3	K243_R21	0.15162495204512494
K243-R3	K243_R23	0.21755023820549035
K243-R3	K243_R24	0.296756250974722
K243-R3	K243_R5	0.21157651284177337
K243-R3	K243_R6	0.15684980391849324
K243-R3	K243_R7	0.18317445544121325
K243_R1	K243-R12	0.2192567923009069
K243_R1	K243-R13	0.16799183803023487
K243_R1	K243-R20	0.1325304109419928
K243_R1	K243-R3	0.24678437756551186
K243_R1	K243_R15	0.15541251909766152
K243_R1	K243_R21	0.28964130660242027
K243_R1	K243_R23	0.33772207360157525
K243_R1	K243_R24	0.1447875037473989
K243_R1	K243_R5	0.21945979678477934
K243_R1	K243_R6	0.17986222080099978
K243_R1	K243_R7	0.2895404900598626
K243_R15	K243-R12	0.11591929042953097
K243_R15	K243-R13	0.08423486259643775
K243_R15	K243-R20	0.09584685184770425
K243_R15	K243-R3	0.2022476057220315
K243_R15	K243_R1	0.15541251909766152
K243_R15	K243_R21	0.1851583748646929
K243_R15	K243_R23	0.2864580137754792
K243_R15	K243_R24	0.15780132195360452
K243_R15	K243_R5	0.18247812285354925
K243_R15	K243_R6	0.1114366178753754
K243_R15	K243_R7	0.21469603974294338
K243_R21	K243-R12	0.15581692035578099
K243_R21	K243-R13	0.22040111935083362
K243_R21	K243-R20	0.18190770316265148
K243_R21	K243-R3	0.15162495204512494
K243_R21	K243_R1	0.28964130660242027
K243_R21	K243_R15	0.1851583748646929
K243_R21	K243_R23	0.18383974525279267
K243_R21	K243_R24	0.3144035800568571
K243_R21	K243_R5	0.207510733716054
K243_R21	K243_R6	0.1531304666386719
K243_R21	K243_R7	0.16314905440632965
K243_R23	K243-R12	0.2706729377059659
K243_R23	K243-R13	0.29260618995723187
K243_R23	K243-R20	0.26168657917475535
K243_R23	K243-R3	0.21755023820549035
K243_R23	K243_R1	0.33772207360157525
K243_R23	K243_R15	0.2864580137754792
K243_R23	K243_R21	0.18383974525279267
K243_R23	K243_R24	0.37342718072218517
K243_R23	K243_R5	0.23165472921086705
K243_R23	K243_R6	0.20191260030297165
K243_R23	K243_R7	0.23654317391591895
K243_R24	K243-R12	0.2144858157306243
K243_R24	K243-R13	0.13441270310082465
K243_R24	K243-R20	0.16007559622255896
K243_R24	K243-R3	0.296756250974722
K243_R24	K243_R1	0.1447875037473989
K243_R24	K243_R15	0.15780132195360452
K243_R24	K243_R21	0.3144035800568571
K243_R24	K243_R23	0.37342718072218517
K243_R24	K243_R5	0.2666692052445875
K243_R24	K243_R6	0.20577131602943066
K243_R24	K243_R7	0.3046906369655529
K243_R5	K243-R12	0.17447851593931119
K243_R5	K243-R13	0.20457048067776262
K243_R5	K243-R20	0.15524692094119563
K243_R5	K243-R3	0.21157651284177337
K243_R5	K243_R1	0.21945979678477934
K243_R5	K243_R15	0.18247812285354925
K243_R5	K243_R21	0.207510733716054
K243_R5	K243_R23	0.23165472921086705
K243_R5	K243_R24	0.2666692052445875
K243_R5	K243_R6	0.09699608438479224
K243_R5	K243_R7	0.12240519277791606
K243_R6	K243-R12	0.14670818800345586
K243_R6	K243-R13	0.159535101588137
K243_R6	K243-R20	0.10484361883433879
K243_R6	K243-R3	0.15684980391849324
K243_R6	K243_R1	0.17986222080099978
K243_R6	K243_R15	0.1114366178753754
K243_R6	K243_R21	0.1531304666386719
