sample1	sample2	t_d
K220-R11	K220-R7	0.14021422511469583
K220-R14	K220-R11	0.5119964685181091
K220-R14	K220-R4	0.40234756425201734
K220-R14	K220-R7	0.4873188501960648
K220-R4	K220-R11	0.49642420266395726
K220-R4	K220-R14	0.40234756425201734
K220-R4	K220-R7	0.5042968499132812
K220-R7	K220-R11	0.14021422511469583
K220-R7	K220-R14	0.4873188501960648
K220-R7	K220-R4	0.5042968499132812
K220_N1t1	K220-R11	0.7017324113149226
K220_N1t1	K220-R14	0.7022643661521798
K220_N1t1	K220-R4	0.6474209250391298
K220_N1t1	K220-R7	0.7420259209510316
K239-R2	K239-R3	0.14449820696246007
K239-R2	K239-R4	0.2507017640050615
K239-R3	K239-R2	0.14449820696246007
K239-R3	K239-R4	0.1271501563403432
K239-R4	K239-R2	0.2507017640050615
K239-R4	K239-R3	0.1271501563403432
K239_N1t1	K239-R2	0.7325973338016287
K239_N1t1	K239-R3	0.5887997667794876
K239_N1t1	K239-R4	0.5715782309967758
K243-R12	K243-R13	0.06928085400197137
K243-R12	K243-R20	0.0847688392061211
K243-R12	K243-R3	0.13504044983780283
K243-R12	K243_R1	0.29754939908475364
K243-R12	K243_R15	0.1546983448662823
K243-R12	K243_R21	0.19627430143931834
K243-R12	K243_R23	0.31834802349222435
K243-R12	K243_R24	0.2743903917901884
K243-R12	K243_R5	0.2304097794521276
K243-R12	K243_R6	0.1908207582153525
K243-R12	K243_R7	0.19017822381943272
K243-R13	K243-R12	0.06928085400197137
K243-R13	K243-R20	0.07729297160237436
K243-R13	K243-R3	0.16543444506831506
K243-R13	K243_R1	0.2377782263461068
K243-R13	K243_R15	0.12003036804186373
K243-R13	K243_R21	0.2530012197078517
K243-R13	K243_R23	0.33781328772065333
K243-R13	K243_R24	0.18686364576040793
K243-R13	K243_R5	0.25396773859491384
K243-R13	K243_R6	0.195652739446174
K243-R13	K243_R7	0.24402808517936203
K243-R20	K243-R12	0.0847688392061211
K243-R20	K243-R13	0.07729297160237436
K243-R20	K243-R3	0.13384969591475648
K243-R20	K243_R1	0.2083392006031437
K243-R20	K243_R15	0.13753063631695983
K243-R20	K243_R21	0.21806520909360527
K243-R20	K243_R23	0.3048665755121899
K243-R20	K243_R24	0.2116547590920944
K243-R20	K243_R5	0.20984165603944838
K243-R20	K243_R6	0.14791368604043142
K243-R20	K243_R7	0.21819762158028888
K243-R3	K243-R12	0.13504044983780283
K243-R3	K243-R13	0.16543444506831506
K243-R3	K243-R20	0.13384969591475648
K243-R3	K243_R1	0.33671469428943956
K243-R3	K243_R15	0.2505655538369945
K243-R3	K243_R21	0.2047395959781395
K243-R3	K243_R23	0.27753129461820647
K243-R3	K243_R24	0.35167396221000913
K243-R3	K243_R5	0.27400166019563543
K243-R3	K243_R6	0.2066158594446159
K243-R3	K243_R7	0.22717273302755958
K243_R1	K243-R12	0.29754939908475364
