gene	t	p	model_p	fdr	variable
LBX2-AS1	0.005275524652314783	0.9957989730721365	0.43323022258666305	0.9968600645402107	is_normal
LCA5	0.27341332234573845	0.7849761830484687	0.08242109407748827	0.8293510549946785	is_normal
LCA5L	5.2753411891776505	5.485979152266511e-7	5.56661154979887e-10	2.5986022928988123e-6	is_normal
LCAT	0.8859038108819048	0.377330678589036	2.979815906164478e-4	0.45819421996352394	is_normal
LCK	-10.762088142248196	1.2422837313233788e-19	8.113570099121126e-27	4.629014614335071e-18	is_normal
LCLAT1	2.5916099467152423	0.010662312619203859	0.002030209998227748	0.020784798648474306	is_normal
LCMT1	0.36706727002852596	0.7141749859824715	0.9968622433932581	0.7706090277538276	is_normal
LCMT2	1.880570675076068	0.06230264405002502	6.238764156026656e-12	0.09825076767602424	is_normal
LCN2	-0.05495687979762873	0.9562585041324312	9.444999895984437e-18	0.9688399482517952	is_normal
LCOR	1.9681942898209916	0.051207122903123466	0.1560104070681774	0.08295618338558046	is_normal
LCORL	-0.43416368469858435	0.6649005365098178	0.03779274144233893	0.7265644649754567	is_normal
LCP1	-10.963946306850215	3.9323730180394857e-20	7.810799845105543e-25	1.6015896118558506e-18	is_normal
LCP2	-12.827454905043414	9.888254258250641e-25	1.2938419056727587e-26	9.882643901224683e-23	is_normal
LCTL	1.7908707559709096	0.07567743178612217	0.7428088105614818	0.11644970176130527	is_normal
LDB1	4.596000746137108	1.0188147637360382e-5	3.3478953907459955e-16	3.800195248959304e-5	is_normal
LDB2	-2.5904097682304887	0.01069766336259135	3.0445410643316877e-19	0.02085082601737722	is_normal
LDB3	2.795505349385374	0.005980570537562394	3.16278511490915e-12	0.01241759245842482	is_normal
LDHA	-6.620757619414736	8.897184318956529e-10	1.006759874772699e-19	6.5746786273065235e-9	is_normal
LDHAL6B	2.4707732225269723	0.014797209598674662	2.880123378057227e-9	0.027769646779134818	is_normal
LDHB	5.187375298324524	8.118374189379717e-7	6.899781484162192e-11	3.7156261473445587e-6	is_normal
LDHC	1.4267898179531247	0.15607521534076482	0.9971847507704183	0.21843399886603018	is_normal
LDHD	9.858802357520007	2.1047716552044036e-17	5.714220912687236e-27	5.122701582925813e-16	is_normal
LDLR	4.264799844825483	3.8552069761784754e-5	9.84072862918723e-17	1.2861642213140878e-4	is_normal
LDLRAD3	-6.06283703150173	1.3981225632452263e-8	4.961195079480898e-9	8.60232054056443e-8	is_normal
LDLRAD4	-3.5469883567149108	5.452570662947908e-4	9.71637455319627e-8	0.001425823451146074	is_normal
LDLRAD4-AS1	-0.6248494143700272	0.5331821834705814	1.8629226113947065e-5	0.6094746373675725	is_normal
LDLRAP1	-0.7500206397923542	0.45461865611217533	4.901758311408741e-15	0.5346758556111479	is_normal
LEAP2	3.4195208507069883	8.420533985913606e-4	8.606943859515298e-4	0.0021163218285980834	is_normal
LEF1	-6.227193810077243	6.2866504096539775e-9	1.8771355787511845e-9	4.071299520810839e-8	is_normal
LEFTY1	-2.147126703186997	0.03366833624126994	0.7300418158233055	0.05736484076075973	is_normal
LEKR1	9.255824137527844	6.293619026553e-16	1.2458529875124426e-16	1.2017571723873289e-14	is_normal
LEMD1-AS1	3.636985532184606	3.9849715302600467e-4	3.3976513577534486e-9	0.0010739380150014263	is_normal
LEMD2	-2.530358731116665	0.012606787387364482	2.897302353344269e-9	0.024141166987734785	is_normal
LEMD3	0.42444936347670237	0.6719506827232314	0.9078931864408852	0.7323378979842056	is_normal
LENG1	1.7726348545961441	0.0786680225191291	0.027108807026376663	0.12053819433941147	is_normal
LENG8	1.2710358509378794	0.20602091732768327	0.005981871414556118	0.27636808824195264	is_normal
LENG9	-3.6555907638701988	3.7322898152691224e-4	4.264902329750905e-22	0.0010114885350137573	is_normal
LEO1	-0.8029620095929606	0.42348516471850794	0.001091813840448104	0.5036078431403557	is_normal
LEPR	-0.09917061636865052	0.9211579491337553	1.589403417307209e-4	0.9412629844966194	is_normal
LEPROT	0.5814290040440493	0.5619738519105458	0.24320897241408418	0.6349691726365789	is_normal
LEPROTL1	-3.2799586328571357	0.0013376290483798413	1.9035471750159625e-8	0.0032293761435272786	is_normal
LETM1	6.1724775053789145	8.212844663564167e-9	1.9580898947917373e-4	5.2440148164452306e-8	is_normal
LETM2	5.0659977064248425	1.4476895697938633e-6	3.310310843017849e-6	6.310189117703409e-6	is_normal
LETMD1	0.532131658442791	0.595557253267682	0.9999502513896403	0.6651286109564254	is_normal
LFNG	-1.6713644484358954	0.09709281493207687	0.1426263389212724	0.14489377825085537	is_normal
LGALS1	-9.388265436944977	2.992215227111968e-16	1.5250697754498948e-18	6.0846027388833846e-15	is_normal
LGALS12	0.3454259216912519	0.7303412130917558	0.06766724771838722	0.7848675646220561	is_normal
